여 | 을축 | 르세라핌 사쿠라 | 1998.3.19
여 | 신묘 | 르세라핌 김채원 | 2000.8.1
여 | 갑진 | 르세라핌 허윤진 | 2001.10.8
여 | 갑인 | 르세라핌 카즈하 | 2003.8.9
여 | 계묘 | 르세라핌 홍은채 | 2006.11.10
여 | 계유 | 여자아이들 미연 | 1997.1.31
여 | 무술 | 여자아이들 민니 | 1997.10.23
여 | 을사 | 여자아이들 소연 | 1998.8.26
여 | 무인 | 여자아이들 우기 | 1999.9.23
여 | 계해 | 여자아이들 슈화 | 2000.1.6
여 | 임술 | 아일릿 윤아 | 2005.10.5
여 | 임자 | 아일릿 민주 | 2006.3.24
여 | 경인 | 아일릿 모카 | 2006.10.28
여 | 경신 | 아일릿 원희 | 2007.5.26
여 | 갑술 | 아일릿 이로하 | 2008.2.4
여 | 갑신 | 있지 예지 | 2000.5.26
여 | 임오 | 있지 리아 | 2000.1.25
여 | 경술 | 있지 류진 | 2001.4.17
여 | 기해 | 있지 채령 | 2001.6.5
여 | 병진 | 있지 유나 | 2003.12.9
여 | 기해 | 에스파 카리나 | 2000.4.11
여 | 신유 | 에스파 지젤 | 2000.10.30
여 | 갑자 | 에스파 윈터 | 2001.1.1
여 | 갑자 | 에스파 닝닝 | 2002.10.23
여 | 갑오 | 블랙핑크 지수 | 1995.1.3
여 | 임자 | 블랙핑크 제니 | 1996.1.16
여 | 갑신 | 블랙핑크 로제 | 1997.2.11
여 | 무진 | 블랙핑크 리사 | 1997.3.27
여 | 병인 | 하츠투하츠 이린 | 2006.2.6
여 | 계묘 | 하츠투하츠 수 | 2007.3.10
여 | 임술 | 하츠투하츠 은채 | 2007.9.25
여 | 을묘 | 하츠투하츠 유키 | 2007.11.17
여 | 임진 | 하츠투하츠 이토 | 2008.12.18
여 | 정축 | 아이브 안유진 | 2003.9.1
여 | 을미 | 아이브 가을 | 2002.9.24
여 | 임자 | 아이브 레이 | 2004.2.3
여 | 임오 | 아이브 장원영 | 2004.8.31
여 | 갑진 | 아이브 리즈 | 2004.11.21
여 | 병술 | 아이브 이서 | 2007.2.21
여 | 임오 | 프로미스나인 이서연 | 1997.12.6
여 | 병신 | 프로미스나인 노지선 | 1998.6.18
여 | 무진 | 프로미스나인 이채영 | 2000.1.11
여 | 갑술 | 프로미스나인 이나경 | 2003.5.1
여 | 계유 | 프로미스나인 백지헌 | 1999.11.17
여 | 신해 | 프로미스나인 박지원 | 1998.9.1
여 | 임신 | 프로미스나인 송하영 | 1997.7.29
여 | 경자 | 프로미스나인 장규리 | 1997.12.24
여 | 계유 | 프로미스나인 이서영 | 1999.3.22
